F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,yield_mz,yield_sb,yield_wh
1.5,0.75,1.5,0.75,1.0,0.75,1.0,1.0,1.25,0.75,0.5,0.75,0.75,1.0,1.5,0.5,1.0,1.5,1.25,1.0,0.5,0.5,1.25,1.5,0.75,1.5,0.5,1.5,0.75,1.25,0.5,0.75,0.5,0.5,1.25,0.5,0.5,1.25,0.5,0.5,1.5,1.25,0.75,1.25,0.75,1.25,0.75,1.0,1.5,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,3211.222222222222,2317.777777777778,2137.8888888888887
1.5,0.5,1.5,1.5,1.25,1.5,1.0,1.5,0.5,0.75,0.5,1.5,1.25,1.0,0.5,0.75,0.75,1.25,1.0,0.5,0.75,1.25,1.25,1.0,1.0,0.75,0.5,0.75,1.25,1.0,1.5,1.5,0.5,1.0,0.75,1.5,1.0,1.5,0.5,1.0,1.0,0.75,1.5,1.0,1.25,1.25,1.5,0.75,1.0,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,3200.3333333333335,2323.8888888888887,2129.1111111111113
1.5,1.5,1.5,0.5,1.25,1.5,1.5,0.75,1.25,1.0,1.25,0.75,0.5,1.25,1.25,0.75,0.75,1.25,1.0,1.25,0.5,1.0,1.25,1.5,1.25,0.5,1.25,0.75,0.75,1.5,0.5,0.75,1.25,1.5,1.5,0.75,1.25,1.0,1.5,0.5,1.25,1.25,1.5,1.25,1.0,0.75,0.5,1.0,1.5,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,3249.4444444444443,2311.5555555555557,2132.8888888888887
0.75,1.0,1.5,1.0,0.5,1.25,1.0,1.5,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.5,1.0,1.5,0.5,0.75,1.5,1.25,0.5,0.75,0.75,1.0,1.25,1.0,1.5,0.5,0.75,0.5,1.5,0.5,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.5,1.5,0.75,0.75,0.5,1.0,1.25,1.0,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,3205.1111111111113,2320.222222222222,2130.222222222222
1.0,1.25,1.5,0.75,1.25,1.25,1.25,0.5,0.5,0.5,1.25,1.25,1.0,1.5,0.5,1.0,0.5,1.25,0.5,0.75,0.5,1.25,0.5,1.25,0.75,1.5,1.0,1.5,0.75,1.0,1.5,1.25,0.75,1.5,1.0,1.25,1.25,1.5,1.5,0.5,0.75,0.5,0.5,1.5,0.75,1.5,1.25,0.5,0.75,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,3241.4444444444443,2315.222222222222,2133.1111111111113
1.25,1.25,1.5,1.0,1.25,1.5,1.5,0.75,0.75,0.5,1.25,1.25,1.5,0.75,1.5,1.5,1.25,1.0,1.5,0.75,0.5,1.25,0.5,1.5,0.5,1.0,1.0,0.5,1.5,1.25,0.5,0.5,1.25,1.5,0.75,1.0,1.5,0.75,1.25,1.25,0.75,0.5,0.5,1.0,1.5,1.0,1.25,0.5,1.0,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,3245.1111111111113,2315.4444444444443,2131.8888888888887
1.25,0.75,1.5,0.5,0.5,1.25,1.0,1.25,1.0,0.5,1.5,1.5,0.5,1.0,1.0,1.25,0.5,0.5,1.25,1.0,0.5,0.5,0.5,1.25,0.5,1.0,0.5,1.25,0.5,0.75,1.5,0.5,0.75,1.5,1.5,0.75,0.5,1.25,1.5,0.5,0.75,1.5,1.25,1.25,0.75,0.75,0.5,1.25,1.0,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,3201.777777777778,2321.8888888888887,2131.1111111111113
0.75,1.5,1.5,0.75,0.5,1.25,1.25,1.0,1.5,1.0,1.5,0.75,0.5,1.5,1.25,0.75,0.5,1.5,1.0,1.5,1.25,0.5,1.5,0.75,0.5,0.75,1.0,1.0,0.75,1.25,1.0,0.75,1.25,1.25,1.25,1.5,1.0,1.5,0.75,0.5,1.5,0.75,0.75,1.0,1.0,0.5,1.25,1.0,1.0,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,3229.5555555555557,2319.0,2133.1111111111113
1.0,1.5,1.5,1.25,1.5,0.75,0.75,1.5,1.5,1.0,0.75,0.75,0.5,1.0,1.25,0.5,0.75,0.5,1.5,1.0,0.5,1.5,0.75,0.5,0.5,0.5,1.25,1.0,0.75,1.5,1.0,1.5,1.0,0.5,1.0,0.75,1.25,0.5,1.5,1.0,0.5,1.25,0.75,1.25,0.75,1.5,0.75,0.75,0.5,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,3239.8888888888887,2316.0,2129.222222222222
1.0,0.5,1.5,0.75,1.5,0.5,1.25,0.5,0.75,1.5,1.25,0.75,1.5,0.75,0.5,0.75,0.5,0.75,1.0,0.75,0.75,0.5,0.5,1.25,0.75,1.0,1.25,0.75,0.75,1.0,1.25,0.5,0.5,1.25,1.5,1.0,1.0,0.75,0.75,0.5,1.5,0.75,1.5,1.5,1.0,1.25,0.75,0.5,0.5,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,3198.6666666666665,2326.5555555555557,2125.4444444444443
1.25,0.5,1.5,1.0,1.5,1.5,1.0,0.5,0.5,0.5,1.5,0.5,1.5,0.75,0.5,1.5,0.5,0.5,1.5,0.75,1.5,1.25,1.0,1.0,1.0,0.5,1.5,1.25,0.5,0.75,1.0,0.5,1.25,1.0,0.5,1.0,1.0,0.5,0.5,0.75,1.25,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,3201.3333333333335,2324.222222222222,2126.3333333333335
